,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
44,K. Koulibaly,27,Senegal,87,90,Napoli,51000000.0,115000.0,6'2,196.0,Africa
45,P. Pogba,25,France,87,91,Manchester United,64000000.0,210000.0,6'4,185.0,Europe
46,K. Navas,31,Costa Rica,87,87,Real Madrid,30500000.0,195000.0,6'1,176.0,North America
47,R. Lukaku,25,Belgium,87,89,Manchester United,62500000.0,230000.0,6'3,207.0,Europe
48,C. Immobile,28,Italy,87,87,Lazio,52000000.0,115000.0,6'1,187.0,Europe
49,Jordi Alba,29,Spain,87,87,FC Barcelona,38000000.0,250000.0,5'7,150.0,Europe
50,D. Mertens,31,Belgium,87,87,Napoli,45000000.0,135000.0,5'7,134.0,Europe
51,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,34000000.0,155000.0,6'2,190.0,Europe
52,M. Hamšík,30,Slovakia,87,87,Napoli,46500000.0,125000.0,6'0,174.0,Europe
53,I. Rakitić,30,Croatia,87,87,FC Barcelona,46500000.0,260000.0,6'0,172.0,Europe
54,Piqué,31,Spain,87,87,FC Barcelona,34000000.0,240000.0,6'4,187.0,Europe
55,L. Sané,22,Germany,86,92,Manchester City,61000000.0,195000.0,6'0,165.0,Europe
56,Bernardo Silva,23,Portugal,86,91,Manchester City,59500000.0,180000.0,5'8,141.0,Europe
57,Ederson,24,Brazil,86,90,Manchester City,41500000.0,125000.0,6'2,190.0,South America
58,S. Mané,26,Senegal,86,87,Liverpool,52000000.0,195000.0,5'9,152.0,Africa
59,V. van Dijk,26,Netherlands,86,88,Liverpool,44500000.0,165000.0,6'4,203.0,Europe
60,R. Sterling,23,United Kingdom,86,89,Manchester City,56500000.0,195000.0,5'7,152.0,Europe
61,Roberto Firmino,26,Brazil,86,87,Liverpool,53000000.0,195000.0,5'11,168.0,South America
62,R. Varane,25,France,86,91,Real Madrid,50000000.0,210000.0,6'3,179.0,Europe
63,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55000000.0,135000.0,5'5,132.0,Europe
64,Alex Sandro,27,Brazil,86,86,Juventus,36500000.0,160000.0,5'11,176.0,South America
65,Douglas Costa,27,Brazil,86,86,Juventus,46500000.0,175000.0,5'8,154.0,South America
66,T. Müller,28,Germany,86,86,FC Bayern München,45000000.0,135000.0,6'1,165.0,Europe
67,Thiago,27,Spain,86,86,FC Bayern München,45500000.0,130000.0,5'9,154.0,Europe
68,M. Reus,29,Germany,86,86,Borussia Dortmund,43500000.0,100000.0,5'11,157.0,Europe
69,Azpilicueta,28,Spain,86,86,Chelsea,35000000.0,175000.0,5'10,168.0,Europe
70,L. Bonucci,31,Italy,86,86,Juventus,30000000.0,160000.0,6'3,187.0,Europe
71,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,39000000.0,150000.0,6'1,179.0,Europe
72,M. Pjanić,28,Bosnia and Herzegovina,86,86,Juventus,44000000.0,180000.0,5'10,159.0,Europe
73,M. Benatia,31,Morocco,86,86,Juventus,30000000.0,160000.0,6'2,207.0,Africa
74,M. Özil,29,Germany,86,86,Arsenal,43500000.0,190000.0,5'11,168.0,Europe
75,Fernandinho,33,Brazil,86,86,Manchester City,18000000.0,185000.0,5'10,148.0,South America
76,Iniesta,34,Spain,86,86,Vissel Kobe,21500000.0,21000.0,5'7,150.0,Europe
77,M. Škriniar,23,Slovakia,85,92,Inter,46500000.0,82000.0,6'2,176.0,Europe
78,S. Milinković-Savić,23,Serbia,85,90,Lazio,50500000.0,73000.0,6'3,168.0,Europe
79,Marco Asensio,22,Spain,85,92,Real Madrid,54000000.0,215000.0,6'0,168.0,Europe
80,N. Fekir,24,France,85,89,Olympique Lyonnais,50000000.0,92000.0,5'8,165.0,Europe
81,Alisson,25,Brazil,85,90,Liverpool,36500000.0,115000.0,6'3,201.0,South America
82,J. Kimmich,23,Germany,85,88,FC Bayern München,40500000.0,92000.0,5'9,154.0,Europe
83,Saúl,23,Spain,85,90,Atlético Madrid,50500000.0,77000.0,6'0,170.0,Europe
84,R. Mahrez,27,Algeria,85,85,Manchester City,40500000.0,205000.0,5'10,148.0,Africa
85,D. Alaba,26,Austria,85,87,FC Bayern München,38000000.0,110000.0,5'11,168.0,Europe
86,Koke,26,Spain,85,86,Atlético Madrid,45000000.0,88000.0,5'9,163.0,Europe
87,A. Lacazette,27,France,85,86,Arsenal,45000000.0,180000.0,5'9,161.0,Europe
88,K. Manolas,27,Greece,85,87,Roma,37500000.0,96000.0,6'2,183.0,Europe
89,N. Otamendi,30,Argentina,85,85,Manchester City,28500000.0,170000.0,6'0,179.0,South America
90,Parejo,29,Spain,85,85,Valencia CF,37000000.0,66000.0,6'0,163.0,Europe
91,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37000000.0,235000.0,6'0,157.0,South America
92,W. Szczęsny,28,Poland,85,87,Juventus,32000000.0,125000.0,6'5,198.0,Europe
93,A. Sánchez,29,Chile,85,85,Manchester United,37500000.0,215000.0,5'7,163.0,South America
94,Y. Brahimi,28,Algeria,85,85,FC Porto,39000000.0,28000.0,5'9,146.0,Africa
95,J. Boateng,29,Germany,85,85,FC Bayern München,30000000.0,115000.0,6'4,198.0,Europe
96,A. Vidal,31,Chile,85,85,FC Barcelona,26000000.0,205000.0,5'11,165.0,South America
97,I. Perišić,29,Croatia,85,85,Inter,37500000.0,110000.0,6'1,176.0,Europe
98,E. Džeko,32,Bosnia and Herzegovina,85,85,Roma,30500000.0,115000.0,6'4,185.0,Europe
99,S. Khedira,31,Germany,85,85,Juventus,33000000.0,160000.0,6'2,198.0,Europe
100,Diego Costa,29,Spain,85,85,Atlético Madrid,38500000.0,100000.0,6'2,190.0,Europe
101,R. Nainggolan,30,Belgium,85,85,Inter,35500000.0,105000.0,5'9,170.0,Europe
102,Naldo,35,Brazil,85,85,FC Schalke 04,9000000.0,38000.0,6'6,201.0,South America
103,B. Matuidi,31,France,85,85,Juventus,26000000.0,145000.0,5'11,165.0,Europe
104,Miranda,33,Brazil,85,85,Inter,15500000.0,96000.0,6'1,172.0,South America
105,K. Benzema,30,France,85,85,Real Madrid,37000000.0,240000.0,6'1,179.0,Europe
106,Filipe Luís,32,Brazil,85,85,Atlético Madrid,21500000.0,81000.0,6'0,163.0,South America
107,V. Kompany,32,Belgium,85,85,Manchester City,22000000.0,170000.0,6'3,187.0,Europe
108,Pepe,35,Portugal,85,85,Beşiktaş JK,9000000.0,57000.0,6'2,179.0,Europe
109,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,14000000.0,15000.0,6'5,209.0,Europe
110,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,34000000.0,105000.0,6'2,174.0,South America
111,J. Giménez,23,Uruguay,84,88,Atlético Madrid,34000000.0,63000.0,6'1,176.0,South America
112,Alex Telles,25,Brazil,84,87,FC Porto,32000000.0,22000.0,5'11,157.0,South America
113,A. Laporte,24,France,84,88,Manchester City,34000000.0,135000.0,6'2,187.0,Europe
114,Bruno Fernandes,23,Portugal,84,88,Sporting CP,40500000.0,22000.0,5'10,152.0,Europe
115,N. Süle,22,Germany,84,90,FC Bayern München,36500000.0,84000.0,6'5,214.0,Europe
116,A. Martial,22,France,84,90,Manchester United,42500000.0,165000.0,6'0,168.0,Europe
117,D. Alli,22,United Kingdom,84,90,Tottenham Hotspur,42500000.0,115000.0,6'2,176.0,Europe
118,Fabinho,24,Brazil,84,88,Liverpool,34000000.0,120000.0,6'2,172.0,South America
119,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,35500000.0,90000.0,6'0,165.0,South America
120,William Carvalho,26,Portugal,84,86,Real Betis,31500000.0,38000.0,6'2,183.0,Europe
121,Jorginho,26,Italy,84,87,Chelsea,38000000.0,155000.0,5'11,148.0,Europe
122,F. Thauvin,25,France,84,87,Olympique de Marseille,39000000.0,72000.0,5'10,154.0,Europe
123,Carvajal,26,Spain,84,87,Real Madrid,31500000.0,185000.0,5'8,161.0,Europe
124,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,42000000.0,93000.0,5'9,172.0,Europe
125,H. Son,25,"Korea, Republic of",84,85,Tottenham Hotspur,37000000.0,125000.0,6'0,143.0,Asia
126,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,25000000.0,72000.0,6'0,179.0,Europe
127,S. de Vrij,26,Netherlands,84,86,Inter,31500000.0,88000.0,6'2,172.0,Europe
128,M. Perin,25,Italy,84,89,Juventus,29500000.0,105000.0,6'2,170.0,Europe
129,J. Cuadrado,30,Colombia,84,84,Juventus,29500000.0,150000.0,5'10,159.0,South America
130,Iago Aspas,30,Spain,84,84,RC Celta,30000000.0,45000.0,5'9,148.0,Europe
131,B. Leno,26,Germany,84,87,Arsenal,27000000.0,115000.0,6'3,183.0,Europe
132,N. Matić,29,Serbia,84,84,Manchester United,24000000.0,165000.0,6'4,187.0,Europe
133,L. Hrádecký,28,Finland,84,84,Bayer 04 Leverkusen,22000000.0,74000.0,6'4,187.0,Europe
134,Illarramendi,28,Spain,84,84,Real Sociedad,31000000.0,51000.0,5'10,165.0,Europe
135,K. Walker,28,United Kingdom,84,84,Manchester City,24500000.0,165000.0,6'0,154.0,Europe
136,I. Gündoğan,27,Germany,84,84,Manchester City,32000000.0,175000.0,5'11,176.0,Europe
137,José Callejón,31,Spain,84,84,Napoli,27500000.0,105000.0,5'10,161.0,Europe
138,A. Di María,30,Argentina,84,84,Paris Saint-Germain,29500000.0,125000.0,5'11,152.0,South America
139,M. Mandžukić,32,Croatia,84,84,Juventus,25000000.0,160000.0,6'3,187.0,Europe
140,Willian,29,Brazil,84,84,Chelsea,30500000.0,175000.0,5'9,172.0,South America
141,Sergio Asenjo,29,Spain,84,85,Villarreal CF,24000000.0,42000.0,6'2,192.0,Europe
142,E. Banega,30,Argentina,84,84,Sevilla FC,29000000.0,31000.0,5'9,157.0,South America
143,A. Witsel,29,Belgium,84,84,Borussia Dortmund,24000000.0,77000.0,6'2,179.0,Europe
144,D. Payet,31,France,84,84,Olympique de Marseille,27500000.0,75000.0,5'9,170.0,Europe
145,Jonas,34,Brazil,84,84,SL Benfica,16500000.0,25000.0,5'11,163.0,South America
146,Sokratis,30,Greece,84,84,Arsenal,23000000.0,140000.0,6'1,187.0,Europe
147,S. Ruffier,31,France,84,84,AS Saint-Étienne,19000000.0,41000.0,6'2,205.0,Europe
148,Falcao,32,Colombia,84,84,AS Monaco,25000000.0,115000.0,5'10,159.0,South America
149,K. Schmeichel,31,Denmark,84,84,Leicester City,19000000.0,78000.0,6'2,196.0,Europe
150,Raúl Albiol,32,Spain,84,84,Napoli,18000000.0,88000.0,6'3,181.0,Europe
151,A. Gómez,30,Argentina,84,84,Atalanta,30000000.0,53000.0,5'5,150.0,South America
152,A. Barzagli,37,Italy,84,84,Juventus,4200000.0,95000.0,6'2,192.0,Europe
153,Quaresma,34,Portugal,84,84,Beşiktaş JK,15500000.0,80000.0,5'9,148.0,Europe
154,A. Robben,34,Netherlands,84,84,FC Bayern München,15500000.0,110000.0,5'11,176.0,Europe
155,O. Dembélé,21,France,83,92,FC Barcelona,40000000.0,155000.0,5'10,148.0,Europe
156,Gabriel Jesus,21,Brazil,83,92,Manchester City,41000000.0,130000.0,5'9,161.0,South America
157,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,28000000.0,51000.0,5'10,165.0,South America
158,Josué Chiamulera,26,Brazil,83,83,Grêmio,22500000.0,43000.0,6'1,176.0,South America
159,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,28500000.0,60000.0,6'2,183.0,South America
160,P. Kimpembe,22,France,83,89,Paris Saint-Germain,30500000.0,82000.0,6'2,176.0,Europe
161,N. Keïta,23,Guinea,83,88,Liverpool,34000000.0,120000.0,5'8,141.0,Africa
162,C. Tolisso,23,France,83,88,FC Bayern München,34000000.0,85000.0,5'11,179.0,Europe
163,T. Lemar,22,France,83,89,Atlético Madrid,35500000.0,64000.0,5'7,137.0,Europe
164,K. Coman,22,France,83,87,FC Bayern München,34000000.0,85000.0,5'10,157.0,Europe
165,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,29500000.0,67000.0,6'5,214.0,Europe
166,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,36500000.0,18000.0,6'3,176.0,South America
167,T. Werner,22,Germany,83,87,RB Leipzig,34500000.0,70000.0,5'11,165.0,Europe
168,A. Rabiot,23,France,83,87,Paris Saint-Germain,33000000.0,91000.0,6'4,176.0,Europe
169,L. Goretzka,23,Germany,83,88,FC Bayern München,34000000.0,85000.0,6'2,174.0,Europe
170,Q. Promes,26,Netherlands,83,84,Sevilla FC,30500000.0,28000.0,5'9,159.0,Europe
171,H. Ziyech,25,Morocco,83,86,Ajax,32500000.0,28000.0,5'11,143.0,Africa
172,Lucas Vázquez,27,Spain,83,83,Real Madrid,27000000.0,205000.0,5'8,154.0,Europe
173,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,33000000.0,20000.0,5'11,161.0,Europe
174,Gerard Moreno,26,Spain,83,85,Villarreal CF,32000000.0,53000.0,5'11,170.0,Europe
175,Felipe,29,Brazil,83,83,FC Porto,20000000.0,22000.0,6'3,190.0,South America
176,M. Kovačić,24,Croatia,83,89,Chelsea,35000000.0,165000.0,5'9,172.0,Europe
177,Kepa,23,Spain,83,91,Chelsea,28500000.0,84000.0,6'1,187.0,Europe
178,Manu Trigueros,26,Spain,83,84,Villarreal CF,30000000.0,49000.0,5'10,165.0,Europe
179,S. Gnabry,22,Germany,83,88,FC Bayern München,34500000.0,85000.0,5'9,165.0,Europe
180,J. Pickford,24,United Kingdom,83,88,Everton,25000000.0,78000.0,6'1,170.0,Europe
181,S. Savić,27,Montenegro,83,86,Atlético Madrid,26000000.0,67000.0,6'2,174.0,Europe
182,J. Stones,24,United Kingdom,83,87,Manchester City,28500000.0,125000.0,6'2,154.0,Europe
183,Suso,24,Spain,83,86,Milan,33000000.0,115000.0,5'9,154.0,Europe
184,J. Draxler,24,Germany,83,86,Paris Saint-Germain,32500000.0,91000.0,6'2,170.0,Europe
185,Felipe Anderson,25,Brazil,83,85,West Ham United,31500000.0,110000.0,5'9,154.0,South America
186,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,31000000.0,115000.0,5'9,154.0,South America
187,Danilo Pereira,26,Portugal,83,86,FC Porto,27000000.0,21000.0,6'2,183.0,Europe
188,Nacho Fernández,28,Spain,83,85,Real Madrid,24500000.0,180000.0,5'11,168.0,Europe
189,T. Horn,25,Germany,83,87,1. FC Köln,24000000.0,25000.0,6'4,198.0,Europe
190,Allan,27,Brazil,83,83,Napoli,26500000.0,87000.0,5'9,163.0,South America
191,F. Acerbi,30,Italy,83,83,Lazio,19000000.0,64000.0,6'4,194.0,Europe
192,Sergi Roberto,26,Spain,83,86,FC Barcelona,26500000.0,170000.0,5'10,150.0,Europe
193,Rodrigo,27,Spain,83,84,Valencia CF,30500000.0,57000.0,6'0,170.0,Europe
194,Pizzi,28,Portugal,83,83,SL Benfica,25500000.0,22000.0,5'10,159.0,Europe
195,K. Kampl,27,Slovenia,83,83,RB Leipzig,26500000.0,74000.0,5'10,148.0,Europe
196,Neto,28,Brazil,83,84,Valencia CF,21000000.0,41000.0,6'3,185.0,South America
197,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,21000000.0,42000.0,6'2,181.0,Europe
198,I. Gueye,28,Senegal,83,83,Everton,21000000.0,125000.0,5'9,146.0,Africa
199,H. Mkhitaryan,29,Armenia,83,83,Arsenal,25500000.0,145000.0,5'10,165.0,Asia
200,Marcos Alonso,27,Spain,83,84,Chelsea,24000000.0,130000.0,6'2,192.0,Europe
201,D. Subašić,33,Croatia,83,83,AS Monaco,13000000.0,70000.0,6'3,185.0,Europe
202,K. Glik,30,Poland,83,83,AS Monaco,19000000.0,86000.0,6'3,176.0,Europe
203,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,21000000.0,66000.0,6'1,176.0,Europe
204,B. Dost,29,Netherlands,83,83,Sporting CP,26000000.0,26000.0,6'5,196.0,Europe
205,Oscar,26,Brazil,83,84,Shanghai SIPG FC,30500000.0,29000.0,5'10,146.0,South America
206,M. Balotelli,27,Italy,83,83,OGC Nice,27500000.0,55000.0,6'2,194.0,Europe
207,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,19000000.0,63000.0,6'2,172.0,South America
208,Giuliano,28,Brazil,83,83,Al Nassr,26000000.0,64000.0,5'8,150.0,South America
209,David Luiz,31,Brazil,83,83,Chelsea,17500000.0,130000.0,6'2,190.0,South America
210,R. Fährmann,29,Germany,83,84,FC Schalke 04,20000000.0,38000.0,6'6,216.0,Europe
211,Juan Mata,30,Spain,83,83,Manchester United,24500000.0,160000.0,5'7,139.0,Europe
212,Adán,31,Spain,83,83,Atlético Madrid,15500000.0,55000.0,6'3,203.0,Europe
213,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,16500000.0,74000.0,6'3,185.0,Europe
214,Y. Sommer,29,Switzerland,83,84,Borussia Mönchengladbach,20000000.0,35000.0,6'0,174.0,Europe
215,Javi Martínez,29,Spain,83,83,FC Bayern München,20000000.0,94000.0,6'4,190.0,Europe
216,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,20000000.0,82000.0,6'1,179.0,Europe
217,Lucas Leiva,31,Brazil,83,83,Lazio,17500000.0,64000.0,5'10,172.0,South America
218,S. Mandanda,33,France,83,83,Olympique de Marseille,13000000.0,51000.0,6'1,181.0,Europe
219,Cesc Fàbregas,31,Spain,83,83,Chelsea,22000000.0,140000.0,5'10,170.0,Europe
220,M. Dembélé,30,Belgium,83,83,Tottenham Hotspur,24000000.0,120000.0,6'1,181.0,Europe
221,F. Ribéry,35,France,83,83,FC Bayern München,11500000.0,72000.0,5'7,159.0,Europe
222,R. Jarstein,33,Norway,83,83,Hertha BSC,13000000.0,33000.0,6'3,181.0,Europe
223,D. De Rossi,34,Italy,83,83,Roma,8000000.0,80000.0,6'0,183.0,Europe
224,Pepe Reina,35,Spain,83,83,Milan,6000000.0,56000.0,6'2,203.0,Europe
225,J. Pavlenka,26,Czech Republic,82,85,SV Werder Bremen,19500000.0,30000.0,6'5,179.0,Europe
226,M. de Ligt,18,Netherlands,82,91,Ajax,27000000.0,11000.0,6'2,196.0,Europe
227,Rodri,22,Spain,82,87,Atlético Madrid,29000000.0,59000.0,6'3,181.0,Europe
228,Arthur,21,Brazil,82,90,FC Barcelona,32500000.0,125000.0,5'7,161.0,South America
229,G. Donnarumma,19,Italy,82,93,Milan,29000000.0,23000.0,6'5,198.0,Europe
230,Rosberto Dourado,30,Brazil,82,82,Atlético Mineiro,16500000.0,46000.0,5'9,154.0,South America
231,Juiano Mestres,34,Brazil,82,82,Cruzeiro,6500000.0,39000.0,5'11,181.0,South America
232,Raphaelito Anjos,30,Brazil,82,82,Grêmio,14000000.0,32000.0,6'3,187.0,South America
233,Gelson Martins,23,Portugal,82,87,Atlético Madrid,29500000.0,59000.0,5'8,159.0,Europe
234,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,29000000.0,36000.0,5'10,150.0,Europe
235,L. Torreira,22,Uruguay,82,87,Arsenal,25000000.0,98000.0,5'6,141.0,South America
236,Malcom,21,Brazil,82,89,FC Barcelona,31500000.0,140000.0,5'8,163.0,South America
237,Pau López,23,Spain,82,87,Real Betis,21500000.0,21000.0,6'2,170.0,Europe
238,L. Hernández,22,France,82,88,Atlético Madrid,25500000.0,53000.0,6'0,168.0,Europe
239,C. Lenglet,23,France,82,88,FC Barcelona,26000000.0,135000.0,6'1,179.0,Europe
240,A. Kramarić,27,Croatia,82,83,TSG 1899 Hoffenheim,26000000.0,54000.0,5'10,161.0,Europe
241,A. Robertson,24,United Kingdom,82,87,Liverpool,24500000.0,98000.0,5'10,141.0,Europe
242,Dani García,28,Spain,82,83,Athletic Club de Bilbao,20000000.0,33000.0,5'11,176.0,Europe
243,F. Bernardeschi,24,Italy,82,87,Juventus,29500000.0,110000.0,6'1,170.0,Europe
244,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,30500000.0,68000.0,6'1,185.0,Europe
245,D. Rugani,23,Italy,82,86,Juventus,24500000.0,95000.0,6'3,185.0,Europe
246,Samu Castillejo,23,Spain,82,86,Milan,29000000.0,94000.0,6'0,148.0,Europe
247,João Cancelo,24,Portugal,82,88,Juventus,25500000.0,95000.0,6'0,163.0,Europe
248,A. Romagnoli,23,Italy,82,89,Milan,26500000.0,84000.0,6'2,172.0,Europe
249,T. Partey,25,Ghana,82,88,Atlético Madrid,25500000.0,59000.0,6'1,170.0,Africa
250,Fred,25,Brazil,82,84,Manchester United,26500000.0,140000.0,5'7,141.0,South America
251,J. Vardy,31,United Kingdom,82,82,Leicester City,20000000.0,96000.0,5'10,163.0,Europe
252,A. Belotti,24,Italy,82,87,Torino,30000000.0,58000.0,5'11,159.0,Europe
253,E. Forsberg,26,Sweden,82,83,RB Leipzig,26000000.0,67000.0,5'10,163.0,Europe
254,J. Lingard,25,United Kingdom,82,83,Manchester United,26500000.0,140000.0,5'9,137.0,Europe
255,F. Vázquez,29,Argentina,82,82,Sevilla FC,21500000.0,27000.0,6'1,181.0,South America
256,E. Višća,28,Bosnia and Herzegovina,82,82,Medipol Başakşehir FK,22500000.0,40000.0,5'8,139.0,Europe
257,A. Rüdiger,25,Germany,82,84,Chelsea,22500000.0,110000.0,6'3,187.0,Europe
258,A. Florenzi,27,Italy,82,83,Roma,20500000.0,73000.0,5'8,148.0,Europe
259,H. Maguire,25,United Kingdom,82,85,Leicester City,23500000.0,77000.0,6'4,220.0,Europe
260,T. Meunier,26,Belgium,82,83,Paris Saint-Germain,21000000.0,87000.0,6'3,198.0,Europe
261,S. Sané,27,Senegal,82,82,FC Schalke 04,18500000.0,41000.0,6'5,187.0,Africa
262,G. Kondogbia,25,Central African Republic,82,85,Valencia CF,27500000.0,46000.0,6'2,176.0,Africa
263,Rafinha,25,Brazil,82,87,FC Barcelona,29500000.0,165000.0,5'9,157.0,South America
264,Gabriel Paulista,27,Brazil,82,83,Valencia CF,21000000.0,44000.0,6'2,174.0,South America
265,Morata,25,Spain,82,85,Chelsea,28500000.0,135000.0,6'2,187.0,Europe
266,J. Cillessen,29,Netherlands,82,84,FC Barcelona,18000000.0,135000.0,6'1,183.0,Europe
267,W. Ben Yedder,27,France,82,82,Sevilla FC,23500000.0,28000.0,5'7,150.0,Europe
268,C. Bakambu,27,"Congo, The Democratic Republic of the",82,83,Beijing Sinobo Guoan FC,26000000.0,33000.0,6'0,161.0,Africa
269,Pablo Sarabia,26,Spain,82,83,Sevilla FC,26000000.0,26000.0,5'9,154.0,Europe
270,W. Zaha,25,Ivory Coast,82,85,Crystal Palace,28500000.0,78000.0,5'11,146.0,Africa
271,Luis Alberto,25,Spain,82,85,Lazio,28500000.0,67000.0,6'0,163.0,Europe
272,Jonathan Viera,28,Spain,82,82,Beijing Sinobo Guoan FC,22500000.0,31000.0,5'7,141.0,Europe
273,Bartra,27,Spain,82,83,Real Betis,21000000.0,32000.0,6'0,161.0,Europe
274,S. Coates,27,Uruguay,82,83,Sporting CP,21000000.0,19000.0,6'5,203.0,South America
275,Willian José,26,Brazil,82,83,Real Sociedad,26500000.0,44000.0,6'2,205.0,South America
